"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Visa","V","441165217792","209.34","United States"
"2","JPMorgan Chase","JPM","369817845760","126.08","United States"
"3","Mastercard","MA","318391910400","329.47","United States"
"4","Bank of America","BAC","290324611072","36.18","United States"
"5","ICBC","1398.HK","198071782893","0.46","China"
"6","Wells Fargo","WFC","175918645248","46.35","United States"
"7","Charles Schwab","SCHW","152127651840","80.19","United States"
"8","China Construction Bank","601939.SS","141294988654","0.75","China"
"9","Morgan Stanley","MS","139280678912","82.22","United States"
"10","Agricultural Bank of China","601288.SS","132442607171","0.39","China"
"11","Royal Bank Of Canada","RY","128443359232","92.25","Canada"
"12","Bank of China","601988.SS","117156562742","0.42","China"
"13","Toronto Dominion Bank","TD","116871045120","64.45","Canada"
"14","Goldman Sachs","GS","116682309632","341.82","United States"
"15","HDFC Bank","HDB","114091139072","61.45","India"
"16","American Express","AXP","112413736960","150.44","United States"
"17","Commonwealth Bank","CBA.AX","112295444228","66.2","Australia"
"18","S&P Global","SPGI","109031153664","326.93","United States"
"19","PayPal","PYPL","99746398208","86.25","United States"
"20","Al Rajhi Bank","1120.SR","92602446476","23.15","Saudi Arabia"
"21","CM Bank","3968.HK","90493408983","3.4","China"
"22","Citigroup","C","89340436480","46.13","United States"
"23","ICICI Bank","IBN","77852442624","22.34","India"
"24","The Saudi National Bank","1180.SR","70621605807","15.91","Saudi Arabia"
"25","Bank Central Asia","BBCA.JK","69375885852","0.56","Indonesia"
"26","Brookfield Asset Management","BAM","66063917056","40.19","Canada"
"27","PNC Financial Services","PNC","65799479296","162.87","United States"
"28","Fiserv","FISV","65621315584","102.6","United States"
"29","National Australia Bank","NAB.AX","64726730015","20.52","Australia"
"30","U.S. Bancorp","USB","63680528384","42.86","United States"
"31","SoftBank","9984.T","63353935684","40.88","Japan"
"32","Bank of Montreal","BMO","63323439104","93.9","Canada"
"33","CME Group","CME","62811439104","174.75","United States"
"34","State Bank of India","SBIN.NS","61917695944","6.94","India"
"35","DBS Group","D05.SI","61630658840","23.95","Singapore"
"36","Truist Financial","TFC","59770990592","45.05","United States"
"37","Mitsubishi UFJ Financial","MUFG","58139934720","4.7","Japan"
"38","BNP Paribas","BNP.PA","58133592378","47.12","France"
"39","Scotiabank","BNS","57965748224","48.64","Canada"
"40","UBS","UBS","56922935296","16.15","Switzerland"
"41","Itaú Unibanco","ITUB","54100803584","5.52","Brazil"
"42","Intercontinental Exchange","ICE","53991718912","96.68","United States"
"43","Westpac Banking","WBC.AX","53790557127","15.39","Australia"
"44","Housing Development Finance Corporation","HDFC.NS","53028103011","29.18","India"
"45","Fidelity National Information Services","FIS","51617419264","84.9","United States"
"46","Bajaj Finance","BAJFINANCE.NS","51575377971","85.17","India"
"47","Moody's","MCO","49297289216","269.09","United States"
"48","Postal Savings Bank of China","601658.SS","49208840835","0.55","China"
"49","London Stock Exchange","LS4C.F","49145803341","87.2","United Kingdom"
"50","ANZ Bank","ANZ.AX","48342661714","16.17","Australia"
"51","Santander","SAN","45679529984","2.68","Spain"
"52","Kotak Mahindra Bank","KOTAKBANK.NS","45482102455","22.9","India"
"53","Adyen","ADYEN.AS","44733377748","1427.94","Netherlands"
"54","Industrial Bank","601166.SS","43153624131","2.08","China"
"55","Sberbank","SBER.ME","42354796667","1.83","Russia"
"56","Bank of Communications","601328.SS","41970086402","0.62","China"
"57","Macquarie","MQG.AX","41270150108","106.79","Australia"
"58","Capital One","COF","41106907136","107.1","United States"
"59","CIBC","CM","40987226112","45.29","Canada"
"60","Banco Santander Brasil","BSBR","39828443136","5.34","Brazil"
"61","Sumitomo Mitsui Financial Group","SMFG","38572285952","5.61","Japan"
"62","Banco Bradesco","BBD","38264012800","3.59","Brazil"
"63","MSCI","MSCI","38180106240","474.27","United States"
"64","ING","ING","37296168960","9.9","Netherlands"
"65","Intesa Sanpaolo","ISP.MI","36194434220","1.9","Italy"
"66","Block","SQ","36172988416","61.29","United States"
"67","Nordea Bank","NDA-FI.HE","35762047821","9.72","Finland"
"68","Global Payments","GPN","34731294720","125.31","United States"
"69","Hong Kong Exchanges & Clearing","0388.HK","34695956218","27.37","Hong Kong"
"70","Bank of New York Mellon","BK","34206408704","42.32","United States"
"71","Axis Bank","AXISBANK.BO","33590115297","10.98","India"
"72","Interactive Brokers","IBKR","33394016256","80.12","United States"
"73","Ameriprise Financial","AMP","33308540928","312.17","United States"
"74","CITIC Securities","600030.SS","32984235625","2.38","China"
"75","Banco Bilbao Vizcaya Argentaria","BBVA","32180189184","5.23","Spain"
"76","Bank of China (Hong Kong)","2388.HK","32126139042","3.04","Hong Kong"
"77","UOB","U11.SI","32124588844","19.18","Singapore"
"78","Lloyds Banking Group","LYG","32055279616","1.9","United Kingdom"
"79","Bajaj Finserv","BAJAJFINSV.NS","32022489952","20.1","India"
"80","Manulife Financial","MFC","31441192960","16.65","Canada"
"81","Nasdaq","NDAQ","30593554432","62.28","United States"
"82","Bank Mandiri","PPERF","30583021568","0.66","Indonesia"
"83","Deutsche Börse","DB1.DE","30341534335","165.24","Germany"
"84","Experian","EXPGF","29915643904","32.48","Ireland"
"85","M&T Bank","MTB","29078321152","168.18","United States"
"86","Discover Financial Services","DFS","28839718912","105.64","United States"
"87","East Money Information","300059.SZ","28014490842","2.12","China"
"88","Ping An Bank","000001.SZ","27891346999","1.44","China"
"89","Sea (Garena)","SE","27828500480","49.54","Singapore"
"90","Crédit Agricole","ACA.PA","27678170955","9.11","France"
"91","Mizuho Financial Group","MFG","27616241664","2.18","Japan"
"92","Shanghai Pudong Development Bank","600000.SS","27530720015","0.94","China"
"93","State Street Corporation","STT","27439773696","74.78","United States"
"94","Barclays","BCS","27425413120","6.92","United Kingdom"
"95","DNB","DNB.OL","27349142999","17.64","Norway"
"96","BTG Pactual","BPAC3.SA","27228451389","2.74","Brazil"
"97","Hang Seng Bank","0011.HK","27207263178","14.23","Hong Kong"
"98","CITIC Bank","601998.SS","26307812687","0.61","China"
"99","CaixaBank","CABK.MC","25786922352","3.28","Spain"
"100","NatWest Group","NWG","25317007360","5.24","United Kingdom"
"101","Sun Life Financial","SLF","25056714752","42.75","Canada"
"102","Japan Post Bank","7182.T","24920731612","6.65","Japan"
"103","UniCredit","UCG.MI","24704378617","12.22","Italy"
"104","Fifth Third Bank","FITB","24694620160","35.98","United States"
"105","The Saudi British Bank","1060.SR","23456756556","11.42","Saudi Arabia"
"106","The Hartford","HIG","23317929984","72.16","United States"
"107","Broadridge Financial Solutions","BR","22999240704","148.9","United States"
"108","Banorte","GFNORTEO.MX","22958700267","7.96","Mexico"
"109","National Bank of Canada","NA.TO","22806757730","67.77","Canada"
"110","First Republic Bank","FRC","21978787840","120.29","United States"
"111","Principal","PFG","21935347712","88.01","United States"
"112","Huntington Bancshares","HBAN","21791490048","15.11","United States"
"113","Nu Holdings","NU","21464446976","4.59","Brazil"
"114","Equifax","EFX","20924284928","170.89","United States"
"115","LPL Financial","LPLA","20755304448","260.19","United States"
"116","Banco do Brasil","BZLA.F","20618785984","7.23","Brazil"
"117","Regions Financial","RF","20416552960","21.85","United States"
"118","Citizens Financial Group","CFG","20319686656","40.98","United States"
"119","FirstRand","FSRA.F","20226434985","3.61","South Africa"
"120","Deutsche Bank","DB","19923400704","9.8","Germany"
"121","Fubon Financial","2881.TW","19888239342","1.6","Taiwan"
"122","Alinma Bank","1150.SR","19850983885","9.93","Saudi Arabia"
"123","China Everbright Bank","601818.SS","19009096507","0.38","China"
