"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Saudi Aramco","2222.SR","2030600000000","9.23","Saudi Arabia"
"2","Exxon Mobil","XOM","461357744128","110.7","United States"
"3","Chevron","CVX","352298237952","179.98","United States"
"4","Shell","SHEL","200031125504","56.18","United Kingdom"
"5","ConocoPhillips","COP","161891221504","127.17","United States"
"6","TotalEnergies","TTE","140412207104","54.77","France"
"7","PetroChina","601857.SS","121999866499","0.7","China"
"8","Equinor","EQNR","115432480768","36.81","Norway"
"9","BP","BP","101645533184","33.15","United Kingdom"
"10","Petrobras","PBR","87722246144","13.45","Brazil"
"11","Gazprom","GAZP.ME","85503398823","3.52","Russia"
"12","Enbridge","ENB","79068045312","39.05","Canada"
"13","EOG Resources","EOG","78348353536","133.69","United States"
"14","Duke Energy","DUK","72377090048","94","United States"
"15","Southern Company","SO","72222359552","66.34","United States"
"16","Schlumberger","SLB","71537598464","50.45","United States"
"17","Canadian Natural Resources","CNQ","69075705856","59.84","Canada"
"18","Sinopec","600028.SS","67442518254","0.59","China"
"19","Occidental Petroleum","OXY","66918379520","71.84","United States"
"20","CNOOC","0883.HK","61897128441","1.24","China"
"21","Pioneer Natural Resources","PXD","61411405824","257.31","United States"
"22","Enterprise Products","EPD","54040907776","24.84","United States"
"23","Rosneft","ROSN.ME","54039865326","4.4","Russia"
"24","Phillips 66","PSX","50125512704","104.2","United States"
"25","Novatek","NVTK.ME","49845155285","15.32","Russia"
"26","Valero Energy","VLO","48568188928","125.98","United States"
"27","Sempra Energy","SRE","47897702400","152.39","United States"
"28","ENI","E","46260142080","26.26","Italy"
"29","Adani Total Gas","ATGL.NS","46054634696","41.86","India"
"30","Suncor Energy","SU","46003699712","33.71","Canada"
"31","Woodside Energy","WDS","44403236864","23.37","Australia"
"32","TC Energy","TRP","44341698560","43.78","Canada"
"33","Lukoil","LKOH.ME","44338687520","63.28","Russia"
"34","Hess","HES","43491618816","140.47","United States"
"35","Kinder Morgan","KMI","39942340608","17.77","United States"
"36","Williams Companies","WMB","39809376256","32.67","United States"
"37","Energy Transfer Partners","ET","38679736320","12.53","United States"
"38","Cenovus Energy","CVE","38581379072","19.98","Canada"
"39","Pacific Gas and Electric","PCG","37597503488","15.25","United States"
