Date,Price,% Growth
1986-07-09,6.8169,0.0
1986-07-10,6.7782,-0.005677067288650325
1986-07-11,6.5458,-0.039768809869588896
1986-07-14,6.3521,-0.06818348516187714
1986-07-15,6.1585,-0.09658349102964695
1986-07-16,6.2747,-0.07953761973917767
1986-07-17,6.3134,-0.07386055245052747
1986-07-18,6.3521,-0.06818348516187714
1986-07-21,6.3521,-0.06818348516187714
1986-07-22,6.3134,-0.07386055245052747
1986-07-23,6.2359,-0.08522935645234643
1986-07-24,6.1585,-0.09658349102964695
1986-07-25,6.2359,-0.08522935645234643
1986-07-28,6.2747,-0.07953761973917767
1986-07-29,6.3134,-0.07386055245052747
1986-07-30,6.2747,-0.07953761973917767
1986-07-31,6.2359,-0.08522935645234643
1986-08-01,6.0423,-0.11362936232011624
1986-08-04,6.0423,-0.11362936232011624
1986-08-05,5.9261,-0.13067523361058553
1986-08-06,5.655,-0.17044404348017428
1986-08-07,5.1902,-0.23862752864205142
1986-08-08,5.5,-0.19318165148381233
1986-08-11,5.655,-0.17044404348017428
1986-08-12,5.8099,-0.1477211049010548
1986-08-13,6.0035,-0.119321099033285
1986-08-14,5.8873,-0.13636697032375428
1986-08-15,5.8099,-0.1477211049010548
1986-08-18,6.0035,-0.119321099033285
1986-08-19,5.9261,-0.13067523361058553
1986-08-20,5.8873,-0.13636697032375428
1986-08-21,5.8486,-0.14204403761240447
1986-08-22,5.8099,-0.1477211049010548
1986-08-25,5.7324,-0.15908990890287378
1986-08-26,5.8099,-0.1477211049010548
1986-08-27,5.7712,-0.153398172189705
1986-08-28,5.6937,-0.16476697619152408
1986-08-29,5.655,-0.17044404348017428
1986-09-02,5.4226,-0.20453578606111286
1986-09-03,5.5388,-0.18748991477064358
1986-09-04,5.7712,-0.153398172189705
1986-09-05,5.5775,-0.1818128474819934
1986-09-08,5.4226,-0.20453578606111286
1986-09-09,5.3451,-0.2159045900629318
1986-09-10,5.2676,-0.22727339406475092
1986-09-11,4.919,-0.27841100793615875
1986-09-12,4.7254,-0.30681101380392856
1986-09-15,4.7254,-0.30681101380392856
1986-09-16,4.6092,-0.32385688509439775
1986-09-17,4.5704,-0.3295486218075665
1986-09-18,5.4226,-0.20453578606111286
1986-09-19,5.3064,-0.22158165735158214
1986-09-22,5.2676,-0.22727339406475092
1986-09-23,5.1127,-0.2499963326438704
1986-09-24,5.2676,-0.22727339406475092
1986-09-25,5.1514,-0.2443192653552202
1986-09-26,5.1514,-0.2443192653552202
1986-09-29,5.1127,-0.2499963326438704
1986-09-30,5.3064,-0.22158165735158214
1986-10-01,5.3064,-0.22158165735158214
1986-10-02,5.3064,-0.22158165735158214
1986-10-03,5.1902,-0.23862752864205142
1986-10-06,5.2289,-0.2329504613534011
1986-10-07,5.2289,-0.2329504613534011
1986-10-08,5.3451,-0.2159045900629318
1986-10-09,5.2289,-0.2329504613534011
1986-10-10,5.1514,-0.2443192653552202
1986-10-13,4.9965,-0.2670422039343397
1986-10-14,5.2676,-0.22727339406475092
1986-10-15,5.4226,-0.20453578606111286
1986-10-16,5.3838,-0.2102275227742816
1986-10-17,5.2676,-0.22727339406475092
1986-10-20,5.1514,-0.2443192653552202
1986-10-21,5.074,-0.2556733999325207
1986-10-22,5.1127,-0.2499963326438704
1986-10-23,5.1328,-0.24704777831565677
1986-10-24,5.1514,-0.2443192653552202
1986-10-27,5.1514,-0.2443192653552202
1986-10-28,5.2676,-0.22727339406475092
1986-10-29,5.5,-0.19318165148381233
1986-10-30,5.6162,-0.17613578019334306
1986-10-31,5.5775,-0.1818128474819934
1986-11-03,5.5775,-0.1818128474819934
1986-11-04,5.5388,-0.18748991477064358
1986-11-05,5.5,-0.19318165148381233
1986-11-06,5.4613,-0.19885871877246267
1986-11-07,5.4427,-0.2015872317328991
1986-11-10,5.4226,-0.20453578606111286
1986-11-11,5.5388,-0.18748991477064358
1986-11-12,5.5589,-0.18454136044242983
1986-11-13,5.1902,-0.23862752864205142
1986-11-14,5.1902,-0.23862752864205142
1986-11-17,5.1902,-0.23862752864205142
1986-11-18,5.1127,-0.2499963326438704
1986-11-19,5.1514,-0.2443192653552202
1986-11-20,5.2676,-0.22727339406475092
1986-11-21,5.5388,-0.18748991477064358
1986-11-24,5.655,-0.17044404348017428
1986-11-25,5.5775,-0.1818128474819934
1986-11-26,5.6162,-0.17613578019334306
1986-11-28,5.5775,-0.1818128474819934
1986-12-01,5.5,-0.19318165148381233
1986-12-02,5.5388,-0.18748991477064358
1986-12-03,5.6162,-0.17613578019334306
1986-12-04,5.5388,-0.18748991477064358
1986-12-05,5.3064,-0.22158165735158214
1986-12-08,5.2676,-0.22727339406475092
1986-12-09,5.2289,-0.2329504613534011
1986-12-10,5.1902,-0.23862752864205142
1986-12-11,4.9965,-0.2670422039343397
1986-12-12,4.9965,-0.2670422039343397
1986-12-15,5.3451,-0.2159045900629318
1986-12-16,5.3838,-0.2102275227742816
1986-12-17,5.2676,-0.22727339406475092
1986-12-18,5.2289,-0.2329504613534011
1986-12-19,5.1902,-0.23862752864205142
1986-12-22,5.2676,-0.22727339406475092
1986-12-23,5.1902,-0.23862752864205142
1986-12-24,5.1514,-0.2443192653552202
1986-12-26,5.1902,-0.23862752864205142
1986-12-29,5.1902,-0.23862752864205142
1986-12-30,5.074,-0.2556733999325207
1986-12-31,5.074,-0.2556733999325207
1987-01-02,5.1716,-0.24135604160248803
1987-01-05,5.655,-0.17044404348017428
1987-01-06,5.5,-0.19318165148381233
1987-01-07,5.8099,-0.1477211049010548
1987-01-08,6.0035,-0.119321099033285
1987-01-09,6.0423,-0.11362936232011624
1987-01-12,5.8486,-0.14204403761240447
1987-01-13,5.8486,-0.14204403761240447
1987-01-14,5.8099,-0.1477211049010548
1987-01-15,5.6162,-0.17613578019334306
1987-01-16,5.5,-0.19318165148381233
1987-01-19,5.655,-0.17044404348017428
1987-01-20,5.7712,-0.153398172189705
1987-01-21,5.655,-0.17044404348017428
1987-01-22,5.8099,-0.1477211049010548
1987-01-23,5.8486,-0.14204403761240447
1987-01-26,5.7324,-0.15908990890287378
1987-01-27,6.0035,-0.119321099033285
1987-01-28,6.1585,-0.09658349102964695
1987-01-29,6.0035,-0.119321099033285
1987-01-30,6.0237,-0.11635787528055282
1987-02-02,6.0035,-0.119321099033285
1987-02-03,5.8486,-0.14204403761240447
1987-02-04,6.0423,-0.11362936232011624
1987-02-05,6.3134,-0.07386055245052747
1987-02-06,6.081,-0.1079522950314659
1987-02-09,5.9261,-0.13067523361058553
1987-02-10,5.9261,-0.13067523361058553
1987-02-11,6.081,-0.1079522950314659
1987-02-12,6.2747,-0.07953761973917767
1987-02-13,6.3521,-0.06818348516187714
1987-02-17,6.5458,-0.039768809869588896
1987-02-18,6.5845,-0.03409174258093857
1987-02-19,6.7395,-0.01135413457730065
1987-02-20,6.7007,-0.017045871290469285
1987-02-23,6.6434,-0.0254514515395562
1987-02-24,6.662,-0.02272293857911961
1987-02-25,6.7983,-0.0027285129604365872
1987-02-26,6.9331,0.017045871290469156
1987-02-27,6.8557,0.005691736713168636
1987-03-02,6.7395,-0.01135413457730065
1987-03-03,6.7007,-0.017045871290469285
1987-03-04,6.8758,0.008640291041382375
1987-03-05,6.9331,0.017045871290469156
1987-03-06,6.9331,0.017045871290469156
1987-03-09,6.8944,0.011368804001818961
1987-03-10,6.9719,0.022737608003637923
1987-03-11,7.0881,0.03978347929410721
1987-03-12,7.0493,0.034091742580938444
1987-03-13,7.5141,0.10227522774281558
1987-03-16,7.5528,0.1079522950314659
1987-03-17,7.669,0.12499816632193507
1987-03-18,7.669,0.12499816632193507
1987-03-19,7.669,0.12499816632193507
1987-03-20,7.7465,0.13636697032375417
1987-03-23,7.7078,0.13068990303510383
1987-03-24,7.7078,0.13068990303510383
1987-03-25,7.7078,0.13068990303510383
1987-03-26,7.9014,0.15908990890287364
1987-03-27,7.9014,0.15908990890287364
1987-03-30,7.2817,0.06818348516187701
1987-03-31,7.4367,0.09092109316551507
1987-04-01,7.3592,0.07955228916369611
1987-04-02,7.3592,0.07955228916369611
1987-04-03,7.4754,0.09659816045416526
1987-04-06,7.5916,0.11364403174463454
1987-04-07,7.3592,0.07955228916369611
1987-04-08,7.4367,0.09092109316551507
1987-04-09,7.4367,0.09092109316551507
1987-04-10,7.3592,0.07955228916369611
1987-04-13,7.1268,0.045460546582757534
1987-04-14,6.5845,-0.03409174258093857
1987-04-15,6.7007,-0.017045871290469285
1987-04-16,6.7395,-0.01135413457730065
1987-04-20,6.7395,-0.01135413457730065
1987-04-21,6.7395,-0.01135413457730065
1987-04-22,6.662,-0.02272293857911961
1987-04-23,6.6233,-0.028400005867769806
1987-04-24,6.3134,-0.07386055245052747
1987-04-27,6.1585,-0.09658349102964695
1987-04-28,6.2359,-0.08522935645234643
1987-04-29,5.9648,-0.1249981663219352
1987-04-30,6.5845,-0.03409174258093857
1987-05-01,6.5458,-0.039768809869588896
1987-05-04,6.4683,-0.051137613871407854
1987-05-05,6.4296,-0.05681468116005818
1987-05-06,6.4683,-0.051137613871407854
1987-05-07,6.4683,-0.051137613871407854
1987-05-08,6.6233,-0.028400005867769806
1987-05-11,6.5845,-0.03409174258093857
1987-05-12,6.662,-0.02272293857911961
1987-05-13,6.8169,0.0
1987-05-14,6.7395,-0.01135413457730065
1987-05-15,6.8169,0.0
1987-05-18,6.8557,0.005691736713168636
1987-05-19,6.7007,-0.017045871290469285
1987-05-20,6.662,-0.02272293857911961
1987-05-21,6.7782,-0.005677067288650325
1987-05-22,6.7007,-0.017045871290469285
1987-05-26,6.7007,-0.017045871290469285
1987-05-27,6.7782,-0.005677067288650325
1987-05-28,6.8169,0.0
1987-05-29,6.7007,-0.017045871290469285
1987-06-01,6.5845,-0.03409174258093857
1987-06-02,6.4296,-0.05681468116005818
1987-06-03,6.5458,-0.039768809869588896
1987-06-04,6.5845,-0.03409174258093857
1987-06-05,6.7395,-0.01135413457730065
1987-06-08,6.7209,-0.014082647537737107
1987-06-09,6.8557,0.005691736713168636
1987-06-10,7.2043,0.05682935058457649
1987-06-11,7.243,0.06250641787322682
1987-06-12,7.4367,0.09092109316551507
1987-06-15,7.1857,0.054100837624139905
1987-06-16,7.2817,0.06818348516187701
1987-06-17,7.2817,0.06818348516187701
1987-06-18,7.3592,0.07955228916369611
1987-06-19,7.2043,0.05682935058457649
1987-06-22,7.3406,0.07682377620325952
1987-06-23,7.2631,0.06545497220144042
1987-06-24,7.1857,0.054100837624139905
1987-06-25,7.1268,0.045460546582757534
1987-06-26,7.0881,0.03978347929410721
1987-06-29,7.0881,0.03978347929410721
1987-06-30,6.9533,0.020009095043201336
1987-07-01,6.9719,0.022737608003637923
1987-07-02,7.1268,0.045460546582757534
1987-07-06,7.0493,0.034091742580938444
1987-07-07,7.3592,0.07955228916369611
1987-07-08,7.243,0.06250641787322682
1987-07-09,7.2244,0.05977790491279023
1987-07-10,7.3205,0.07387522187504578
1987-07-13,7.5141,0.10227522774281558
1987-07-14,7.5916,0.11364403174463454
1987-07-15,7.4367,0.09092109316551507
1987-07-16,7.3979,0.0852293564523463
1987-07-17,7.2817,0.06818348516187701
1987-07-20,7.243,0.06250641787322682
1987-07-21,7.243,0.06250641787322682
1987-07-22,7.2043,0.05682935058457649
1987-07-23,7.0695,0.03705496633367062
1987-07-24,7.1655,0.05113761387140773
1987-07-27,7.0106,0.028414675292288246
1987-07-28,7.0493,0.034091742580938444
1987-07-29,7.1655,0.05113761387140773
1987-07-30,7.3979,0.0852293564523463
1987-07-31,7.3979,0.0852293564523463
1987-08-03,7.4754,0.09659816045416526
1987-08-04,7.4754,0.09659816045416526
1987-08-05,7.4754,0.09659816045416526
1987-08-06,7.5141,0.10227522774281558
1987-08-07,7.6303,0.11932109903328487
1987-08-10,7.7465,0.13636697032375417
1987-08-11,7.9789,0.17045871290469272
1987-08-12,7.9789,0.17045871290469272
1987-08-13,7.8627,0.15341284161422344
1987-08-14,7.8627,0.15341284161422344
1987-08-17,7.7852,0.14204403761240436
1987-08-18,7.5916,0.11364403174463454
1987-08-19,7.5528,0.1079522950314659
1987-08-20,7.7852,0.14204403761240436
1987-08-21,7.9789,0.17045871290469272
1987-08-24,7.8627,0.15341284161422344
1987-08-25,7.9014,0.15908990890287364
1987-08-26,7.9014,0.15908990890287364
1987-08-27,7.9014,0.15908990890287364
1987-08-28,7.7465,0.13636697032375417
1987-08-31,7.7465,0.13636697032375417
1987-09-01,7.5528,0.1079522950314659
1987-09-02,7.5528,0.1079522950314659
1987-09-03,7.4754,0.09659816045416526
1987-09-04,7.3979,0.0852293564523463
1987-09-08,7.0881,0.03978347929410721
1987-09-09,6.992,0.02568616233185166
1987-09-10,7.2043,0.05682935058457649
1987-09-11,7.2043,0.05682935058457649
1987-09-14,7.2043,0.05682935058457649
1987-09-15,7.0307,0.03136322962050198
1987-09-16,6.8169,0.0
1987-09-17,6.7395,-0.01135413457730065
1987-09-18,7.0106,0.028414675292288246
1987-09-21,6.7782,-0.005677067288650325
1987-09-22,7.1268,0.045460546582757534
1987-09-23,7.1655,0.05113761387140773
1987-09-24,7.0881,0.03978347929410721
1987-09-25,7.3205,0.07387522187504578
1987-09-28,7.3592,0.07955228916369611
1987-09-29,7.2817,0.06818348516187701
1987-09-30,7.1655,0.05113761387140773
1987-10-01,7.3205,0.07387522187504578
1987-10-02,7.2817,0.06818348516187701
