"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Coca-Cola","KO","262757236736","60.76","United States"
"2","Pepsico","PEP","251060076544","182.23","United States"
"3","Kweichow Moutai","600519.SS","235649029734","187.59","China"
"4","Anheuser-Busch Inbev","BUD","101648539648","50.34","Belgium"
"5","Starbucks","SBUX","99938533376","87.1","United States"
"6","Diageo","DEO","95671107584","168.01","United Kingdom"
"7","Wuliangye Yibin","000858.SZ","73617757888","18.97","China"
"8","Nongfu Spring","9633.HK","57313578625","5.1","China"
"9","Keurig Dr Pepper","KDP","56012685312","39.55","United States"
"10","Monster Beverage","MNST","49284919296","93.54","United States"
"11","Heineken","HEIA.AS","48266457373","83.85","Netherlands"
"12","Constellation Brands","STZ","46700752896","247.09","United States"
"13","Ambev","ABEV","46122889216","2.93","Brazil"
"14","Pernod Ricard","RI.PA","44299868766","175.25","France"
"15","Brown Forman","BF-A","32866977792","69.03","United States"
"16","Budweiser APAC","1876.HK","28311214263","2.14","Hong Kong"
"17","YANGHE","002304.SZ","27431752511","18.2","China"
"18","Fomento Económico Mexicano","FMX","25265882030","70.61","Mexico"
"19","Coca-Cola European Partners","CCEP","21749297152","47.22","United Kingdom"
"20","Carlsberg","CBGA.F","17200060849","140.52","Denmark"
"21","China Resources Beer","0291.HK","16407844063","4.88","Hong Kong"
"22","Asahi Group","2502.T","14289004276","28.2","Japan"
"23","JDE Peet's","JDE.F","14099333945","28.04","Netherlands"
"24","Arca Continental","AC.MX","13929977972","7.99","Mexico"
"25","Coca-Cola FEMSA","KOF","13102876672","62.37","Mexico"
"26","Tsingtao","600600.SS","13058431504","11.64","China"
"27","Kirin Holdings","2503.T","11963295111","14.74","Japan"
"28","Molson Coors","TAP","11097744384","51.1","United States"
"29","Suntory","2587.T","10344017091","33.48","Japan"
"30","Thai Beverage","TBVPF","10204108800","0.41","Thailand"
"31","Campari","CPR.MI","10009040749","8.89","Italy"
"32","Yakult","2267.T","8666444838","55.56","Japan"
"33","Varun Beverages","VBL.NS","8211953424","12.64","India"
"34","Coca-Cola HBC","CCH.L","7885514836","21.51","Switzerland"
"35","Becle","CUERVO.MX","7628377486","2.12","Mexico"
"36","United Spirits","UNITDSPR.BO","7526195406","10.61","India"
"37","Celsius Holdings","CELH","6937783296","91.72","United States"
"38","Dutch Bros","BROS","5962135552","36.42","United States"
"39","Treasury Wine Estates","TWE.AX","5874968168","8.14","Australia"
"40","Meiji Holdings","2269.T","5807797998","41.24","Japan"
"41","Emperador Brandy","EMI.SI","5410607367","0.34","Philippines"
"42","United Breweries","UBL.NS","5317023709","20.1","India"
"43","Boston Beer Company","SAM","4718244864","383.75","United States"
"44","National Beverage","FIZZ","4366361088","46.78","United States"
"45","Royal Unibrew","0R1.F","2759973402","54.22","Denmark"
"46","MGP Ingredients","MGPI","2471167232","112.36","United States"
"47","Britvic","BVIC.L","2257763711","8.46","United Kingdom"
"48","Coca-Cola İçecek","CCOLA.IS","2230039573","8.77","Turkey"
"49","Distell Group","DGH.JO","2100603100","9.54","South Africa"
"50","Compañía Cervecerías Unidas","CCU","2011938560","10.89","Chile"
"51","Radico Khaitan","RADICO.NS","1683639944","12.6","India"
"52","Efes Beverage Group","AEFES.IS","1497685049","2.53","Turkey"
"53","Fever-Tree Drinks","FEVR.L","1344184061","11.31","United Kingdom"
"54","HiteJinro","000080.KS","1241912903","17.9","South Korea"
"55","Grupa Zywiec","ZWC.WA","1041978216","101.45","Poland"
"56","Olvi plc","OLVAS.HE","635178633","30.7","Finland"
"57","Delegat","DGL.NZ","602944700","5.96","New Zealand"
"58","The Vita Coco Company","COCO","602176256","10.82","United States"
"59","Tata Coffee","TATACOFFEE.NS","488345464","2.61","India"
"60","Anora Group","ANORA.HE","465213634","6.89","Finland"
"61","Dutch Lady Milk Industries","3026.KL","412203390","6.44","Malaysia"
"62","Black Rifle Coffee (BRC)","BRCC","380926784","7.24","United States"
"63","Hawesko","HAW.DE","363490149","40.46","Germany"
"64","Ottakringer Getränke","OTS.VI","357016544","159.46","Austria"
"65","Corby Spirit and Wine","CSW-A.TO","354275001","12.65","Canada"
"66","Zevia","ZVIA","302000384","4.68","United States"
"67","Vintage Wine Estates","VWE","175202720","2.84","United States"
"68","Andrew Peller","ADW-A.TO","164838565","3.64","Canada"
"69","Coffee Day Enterprises","COFFEEDAY.NS","125314195","0.59","India"
"70","Farmer Brothers","FARM","96875120","5.14","United States"
"71","Alkaline Water Company","WTER","44239500","0.31","United States"
"72","DAVIDsTEA","DTEA","23900218","0.9","Canada"
"73","Fresh Vine Wine","VINE","22281524","1.75","United States"
"74","Reborn Coffee","REBN","13139438","1.13","United States"
"75","Winc","WBEV","8898337","0.67","United States"
"76","NuZee","NUZE","8520480","0.36","United States"
"77","Greene Concepts","INKW","5090228","0.01","United States"
"78","Eastside Distilling","EAST","4677261","0.3","United States"
