"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Kweichow Moutai","600519.SS","235649029734","187.59","China"
"2","Anheuser-Busch Inbev","BUD","101648539648","50.34","Belgium"
"3","Diageo","DEO","95671107584","168.01","United Kingdom"
"4","Wuliangye Yibin","000858.SZ","73617757888","18.97","China"
"5","Heineken","HEIA.AS","48266457373","83.85","Netherlands"
"6","Constellation Brands","STZ","46700752896","247.09","United States"
"7","Ambev","ABEV","46122889216","2.93","Brazil"
"8","Pernod Ricard","RI.PA","44299868766","175.25","France"
"9","Brown Forman","BF-A","32866977792","69.03","United States"
"10","Budweiser APAC","1876.HK","28311214263","2.14","Hong Kong"
"11","YANGHE","002304.SZ","27431752511","18.2","China"
"12","Carlsberg","CBGA.F","17200060849","140.52","Denmark"
"13","China Resources Beer","0291.HK","16407844063","4.88","Hong Kong"
"14","Asahi Group","2502.T","14289004276","28.2","Japan"
"15","Tsingtao","600600.SS","13058431504","11.64","China"
"16","Kirin Holdings","2503.T","11963295111","14.74","Japan"
"17","Molson Coors","TAP","11097744384","51.1","United States"
"18","Suntory","2587.T","10344017091","33.48","Japan"
"19","Thai Beverage","TBVPF","10204108800","0.41","Thailand"
"20","Campari","CPR.MI","10009040749","8.89","Italy"
"21","Becle","CUERVO.MX","7628377486","2.12","Mexico"
"22","United Spirits","UNITDSPR.BO","7526195406","10.61","India"
"23","Treasury Wine Estates","TWE.AX","5874968168","8.14","Australia"
"24","Emperador Brandy","EMI.SI","5410607367","0.34","Philippines"
"25","United Breweries","UBL.NS","5317023709","20.1","India"
"26","Boston Beer Company","SAM","4718244864","383.75","United States"
"27","Royal Unibrew","0R1.F","2759973402","54.22","Denmark"
"28","MGP Ingredients","MGPI","2471167232","112.36","United States"
"29","Distell Group","DGH.JO","2100603100","9.54","South Africa"
"30","Compañía Cervecerías Unidas","CCU","2011938560","10.89","Chile"
"31","Radico Khaitan","RADICO.NS","1683639944","12.6","India"
"32","Efes Beverage Group","AEFES.IS","1497685049","2.53","Turkey"
"33","Fever-Tree Drinks","FEVR.L","1344184061","11.31","United Kingdom"
"34","HiteJinro","000080.KS","1241912903","17.9","South Korea"
"35","Grupa Zywiec","ZWC.WA","1041978216","101.45","Poland"
"36","Olvi plc","OLVAS.HE","635178633","30.7","Finland"
"37","Delegat","DGL.NZ","602944700","5.96","New Zealand"
"38","Anora Group","ANORA.HE","465213634","6.89","Finland"
"39","Hawesko","HAW.DE","363490149","40.46","Germany"
"40","Ottakringer Getränke","OTS.VI","357016544","159.46","Austria"
"41","Corby Spirit and Wine","CSW-A.TO","354275001","12.65","Canada"
"42","Vintage Wine Estates","VWE","175202720","2.84","United States"
"43","Andrew Peller","ADW-A.TO","164838565","3.64","Canada"
"44","Fresh Vine Wine","VINE","22281524","1.75","United States"
"45","Winc","WBEV","8898337","0.67","United States"
"46","Eastside Distilling","EAST","4677261","0.3","United States"
