"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Union Pacific Corporation","UNP","122130219008","198.65","United States"
"2","Canadian National Railway","CNI","80765165568","119.09","Canada"
"3","Canadian Pacific Railway","CP","68806950912","73.92","Canada"
"4","CSX Corporation","CSX","61432418304","29.22","United States"
"5","Norfolk Southern","NSC","53819027456","229.14","United States"
"6","Central Japan Railway","9022.T","22567408594","114.67","Japan"
"7","East Japan Railway","9020.T","20338459053","53.91","Japan"
"8","China Railway Construction","601186.SS","12217673252","0.97","China"
"9","West Japan Railway","9021.T","9547300791","39.16","Japan"
"10","Getlink","GET.PA","8602930771","15.88","France"
"11","Rumo","RAIL3.SA","7429166696","4.01","Brazil"
"12","Indian Railway Catering & Tourism","IRCTC.NS","7191305056","8.99","India"
"13","Hankyu Hanshin Holdings","9042.T","7093612824","29.44","Japan"
"14","Tokyu","9005.T","6880594148","11.42","Japan"
"15","Kintetsu GHD","9041.T","6392292705","33.61","Japan"
"16","Taiwan High Speed Rail","2633.TW","4874800222","0.87","Taiwan"
"17","Tobu Railway","9001.T","4783174499","22.93","Japan"
"18","Odakyu Electric Railway","9007.T","4365211118","12.01","Japan"
"19","Bangkok Expressway and Metro (BEM)","BEM.BK","3746718611","0.25","Thailand"
"20","Indian Railway Finance","IRFC.NS","3558542068","0.27","India"
"21","Qube Holdings","QUB.AX","3046366506","1.73","Australia"
"22","Meitetsu","9048.T","2979575476","15.16","Japan"
"23","BTS Group","BTS.BK","2880629428","0.22","Thailand"
"24","Pkp Cargo","PKP.WA","112639297","2.52","Poland"
