"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Lockheed Martin","LMT","127071821824","484.87","United States"
"2","Airbus","AIR.PA","86337720104","109.63","Netherlands"
"3","Boeing","BA","85726191616","143.84","United States"
"4","Dassault Aviation","AM.PA","12587963420","151.29","France"
"5","Hindustan Aeronautics","HAL.NS","10262170884","30.69","India"
"6","Korea Aerospace Industries","047810.KS","3099149299","31.79","South Korea"
"7","Joby Aviation","JOBY","2855569408","4.7","United States"
"8","Eve Air Mobility","EVEX","2810214144","10.55","United States"
"9","Bombardier","BBD-B.TO","2702771561","28.7","Canada"
"10","Embraer","ERJ","1810798848","9.86","Brazil"
"11","Vertical Aerospace","EVTL","1158683136","5.16","United Kingdom"
"12","Archer Aviation","ACHR","695640960","2.88","United States"
"13","Lilium","LILM","563405888","1.88","Germany"
