1997-10-20,1.3050
1997-10-21,1.3192
1997-10-22,1.3069
1997-10-23,1.2567
1997-10-24,1.2486
1997-10-27,1.1358
1997-10-28,1.1278
1997-10-29,1.1197
1997-10-30,1.0836
1997-10-31,1.0553
1997-11-03,1.1339
1997-11-04,1.1397
1997-11-05,1.1358
1997-11-06,1.1217
1997-11-07,1.0753
1997-11-10,1.0733
1997-11-11,1.0430
1997-11-12,0.9425
1997-11-13,0.9264
1997-11-14,0.9506
1997-11-17,0.9808
1997-11-18,0.9808
1997-11-19,0.9789
1997-11-20,0.9908
1997-11-21,1.0653
1997-11-24,0.9808
1997-11-25,0.9628
1997-11-26,1.0131
1997-11-28,0.9789
1997-12-01,0.9667
1997-12-02,0.9870
1997-12-03,1.0392
1997-12-04,1.1117
1997-12-05,1.1258
1997-12-08,1.1961
1997-12-09,1.1961
1997-12-10,1.0814
1997-12-11,1.0956
1997-12-12,1.0836
1997-12-15,1.0997
1997-12-16,1.1278
1997-12-17,1.1278
1997-12-18,1.1278
1997-12-19,1.0936
1997-12-22,1.0956
1997-12-23,1.1055
1997-12-24,1.1017
1997-12-26,1.0956
1997-12-29,1.1378
1997-12-30,1.1339
1997-12-31,1.1478
1998-01-02,1.1297
1998-01-05,1.1519
1998-01-06,1.1320
1998-01-07,1.1239
1998-01-08,1.1197
1998-01-09,1.1136
1998-01-12,1.0875
1998-01-13,1.0975
1998-01-14,1.0836
1998-01-15,1.0836
1998-01-16,1.0956
1998-01-20,1.1017
1998-01-21,1.0914
1998-01-22,1.0672
1998-01-23,1.0031
1998-01-26,0.9728
1998-01-27,0.9808
1998-01-28,0.9605
1998-01-29,0.9647
1998-01-30,0.9970
1998-02-02,1.0292
1998-02-03,0.9908
1998-02-04,0.9789
1998-02-05,1.0272
1998-02-06,1.0472
1998-02-09,1.0714
1998-02-10,1.0997
1998-02-11,1.1239
1998-02-12,1.1117
1998-02-13,1.0672
1998-02-17,1.1036
1998-02-18,1.1155
1998-02-19,1.1055
1998-02-20,1.1055
1998-02-23,1.1561
1998-02-24,1.2103
1998-02-25,1.2486
1998-02-26,1.2870
1998-02-27,1.2808
1998-03-02,1.1961
1998-03-03,1.2122
1998-03-04,1.2486
1998-03-05,1.2406
1998-03-06,1.2567
1998-03-09,1.2364
1998-03-10,1.2605
1998-03-11,1.2567
1998-03-12,1.2647
1998-03-13,1.2628
1998-03-16,1.2528
1998-03-17,1.2225
1998-03-18,1.2306
1998-03-19,1.2325
1998-03-20,1.2364
1998-03-23,1.2747
1998-03-24,1.2789
1998-03-25,1.2689
1998-03-26,1.2908
1998-03-27,1.3131
1998-03-30,1.3614
1998-03-31,1.4339
1998-04-01,1.4055
1998-04-02,1.3372
1998-04-03,1.3794
1998-04-06,1.3856
1998-04-07,1.4178
1998-04-08,1.4178
1998-04-09,1.4220
1998-04-13,1.4036
1998-04-14,1.4378
1998-04-15,1.4803
