"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Marriott International","MAR","51814567936","159.65","United States"
"2","Oriental Land","4661.T","44546851411","136.01","Japan"
"3","Hilton Worldwide","HLT","36930002944","134.64","United States"
"4","Las Vegas Sands","LVS","28342917120","37.09","United States"
"5","Galaxy Entertainment","0027.HK","19579901769","4.48","Hong Kong"
"6","MGM Resorts","MGM","14135948288","35.96","United States"
"7","Host Hotels & Resorts","HST","13527068672","18.65","United States"
"8","Pan Pacific","7532.T","10159636073","16.02","Japan"
"9","Hyatt Hotels","H","10120901632","92.74","United States"
"10","InterContinental Hotels Group","IHG","9853458432","55.43","United Kingdom"
"11","Huazhu Hotels","HTHT","9140458496","27.9","China"
"12","Choice Hotels International","CHH","7206218240","129.19","United States"
"13","Wyndham Hotels &amp; Resorts","WH","6726771200","76.16","United States"
"14","Wynn Resorts","WYNN","6630458880","58.3","United States"
"15","Accor","AC.PA","6272168898","23.85","France"
"16","Whitbread","WTB.L","6117109786","29.83","United Kingdom"
"17","Indian Hotels Company","INDHOTEL.NS","5563949986","3.92","India"
"18","Ryman Hospitality Properties","RHP","4903297536","88.9","United States"
"19","Kangwon Land","035250.KS","3337056353","16.46","South Korea"
"20","Melco Resorts &amp; Entertainment","MLCO","2429559040","5.32","Hong Kong"
"21","Sunstone Hotel Investors","SHO","2375815936","11.19","United States"
"22","Covivio Hotels","COVH.PA","2251373554","15.2","France"
"23","SJM Holdings","0880.HK","2189599040","0.31","Hong Kong"
"24","Pebblebrook Hotel Trust","PEB","2144287744","16.28","United States"
"25","Mandarin Oriental","M04.SI","2072500736","1.64","Hong Kong"
"26","Wynn Macau","1128.HK","2034381065","0.39","Macau"
"27","Shangri-La","0069.HK","2005380538","0.56","Hong Kong"
"28","Xenia Hotels &amp; Resorts","XHR","1948575232","17.04","United States"
"29","EIH Limited","EIHOTEL.NS","1436727110","2.3","India"
"30","Hongkong and Shanghai Hotels","0045.HK","1306745903","0.79","Hong Kong"
"31","Skycity Entertainment Group","SKC.NZ","1233697013","1.62","New Zealand"
"32","NH Hotel Group","NHH.MC","1146197776","2.63","Spain"
"33","Playa Hotels &amp; Resorts","PLYA","1041008128","6.27","United States"
"34","Meliá Hotels International","MEL.MC","1018200646","4.63","Spain"
"35","Miramar Hotel and Investment","0071.HK","971856442","1.41","Hong Kong"
"36","Summit Hotel Properties","INN","906503488","8.48","United States"
"37","Chalet Hotels","CHALET.NS","906282706","4.41","India"
"38","Melco International Development","0200.HK","765189939","0.5","Hong Kong"
"39","Delta Corp","DELTACORP.NS","720089565","2.69","India"
"40","Marcus Corporation","MCS","483306656","15.34","United States"
"41","Braemar Hotels &amp; Resorts","BHR","401418048","4.81","United States"
"42","Bluegreen Vacations","BVH","332710304","17.58","United States"
"43","Regal Hotels International","0078.HK","283984661","0.32","Hong Kong"
"44","Hong Kong Ferry","0050.HK","272796471","0.77","Hong Kong"
"45","Sotherly Hotels","SOHO","85498512","2.26","United States"
