"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","McDonald","MCD","201969025024","274.52","United States"
"2","Chipotle Mexican Grill","CMG","41720254464","1505","United States"
"3","Yum! Brands","YUM","33541812224","117.88","United States"
"4","Restaurant Brands International","QSR","26470688768","59.3","Canada"
"5","Darden Restaurants","DRI","17438924800","142.49","United States"
"6","Yum China","YUMC","17372446720","41.48","China"
"7","Domino's Pizza","DPZ","11851718656","334.8","United States"
"8","Hai Di Lao Hot Pot","6862.HK","8919423424","1.6","China"
"9","Texas Roadhouse","TXRH","6599098880","98.71","United States"
"10","Wingstop Restaurants","WING","4809029120","160.75","United States"
"11","McDonald's Japan","2702.T","4626778536","34.8","Japan"
"12","Wendy’s Company","WEN","4462499840","20.97","United States"
"13","Jollibee","JBFCF","4415979520","3.87","Philippines"
"14","Devyani International","DEVYANI.NS","2818323471","2.34","India"
"15","Papa John's Pizza","PZZA","2555955968","72.31","United States"
"16","Shake Shack","SHAK","2352612096","55.82","United States"
"17","Bloomin' Brands","BLMN","2094909952","23.46","United States"
"18","Sweetgreen","SG","2087456256","18.95","United States"
"19","Dave & Buster's","PLAY","1941486976","40.25","United States"
"20","The Cheesecake Factory","CAKE","1891193984","36.21","United States"
"21","SSP Group","SSPG.L","1881168987","2.36","United Kingdom"
"22","Jack in the Box","JACK","1863553408","88.5","United States"
"23","Arcos Dorados Holdings","ARCO","1573144704","7.47","Uruguay"
"24","First Watch Restaurant","FWRG","1004365120","17","United States"
"25","MTY Food Group","MTY.TO","995096031","40.76","Canada"
"26","Portillo's","PTLO","968382912","21.9","United States"
"27","Recipe Unlimited","RECP.TO","895763834","15.22","Canada"
"28","AmRest","EAT.MC","845437257","3.86","Spain"
"29","Kura Sushi USA","KRUS","776222080","79.69","United States"
"30","BJ's Restaurants","BJRI","764369152","32.59","United States"
"31","Ruth's Hospitality Group","RUTH","704534016","20.85","United States"
"32","Denny's","DENN","658080256","11.36","United States"
"33","Chuy's","CHUY","553498240","29.37","United States"
"34","TH International (Tims China)","THCH","526660256","3.55","China"
"35","Restaurant Brands New Zealand","RBD.NZ","518861610","4.16","New Zealand"
"36","Barbeque Nation Hospitality","BARBEQUE.NS","503798596","12.93","India"
"37","Biglari","BH","424324160","138.01","United States"
"38","El Pollo Loco","LOCO","380385696","10.28","United States"
"39","Bafang Yunji","2753.TW","359063238","5.44","Taiwan"
"40","Pizza Pizza","PZA.TO","300390850","9.34","Canada"
"41","The Restaurant Group plc","RTN.L","284366720","0.37","United Kingdom"
"42","Noodles &amp; Company","NDLS","270094688","5.91","United States"
"43","The ONE Group Hospitality","STKS","248461936","7.61","United States"
"44","Fiesta Restaurant Group","FRGI","178587712","6.87","United States"
"45","Potbelly Corporation","PBPB","143218480","4.99","United States"
"46","Red Robin","RRGB","130329160","8.2","United States"
"47","Carrols Restaurant Group","TAST","89499144","1.68","United States"
"48","Rave Restaurant Group","RAVE","30996944","1.89","United States"
