"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Vinci","DG.PA","52329947363","92.96","France"
"2","Larsen &amp; Toubro","LT.NS","33735937798","24.01","India"
"3","China State Construction Engineering","601668.SS","28342263497","0.68","China"
"4","D. R. Horton","DHI","27096569856","77.98","United States"
"5","Lennar","LEN","23305922560","82.04","United States"
"6","Ferrovial","FER.MC","17685761786","24.29","Spain"
"7","China Railway Group","0390.HK","17021468082","0.49","China"
"8","NVR","NVR","13732370432","4275.36","United States"
"9","Daiwa House","1925.T","13338057431","20.34","Japan"
"10","China Communications Construction","601800.SS","12881815197","0.95","China"
"11","China Railway Construction","601186.SS","12217673252","0.97","China"
"12","Sekisui House","1928.T","11009478232","16.62","Japan"
"13","Bouygues","EN.PA","10705771003","28.62","France"
"14","Acciona","ANA.MC","10093879466","184.57","Spain"
"15","Eiffage","FGR.PA","8670964417","90.95","France"
"16","Procore","PCOR","7451985920","54.47","United States"
"17","Grupo ACS","ACS.MC","6693200367","25.54","Spain"
"18","Daito Trust Construction","1878.T","6646948658","97.48","Japan"
"19","Skanska","SKA-B.ST","6352820441","15.75","Sweden"
"20","Persimmon","PSN.L","4866254529","15.24","United Kingdom"
"21","Kajima","1812.T","4628612762","9.38","Japan"
"22","Obayashi","1802.T","4556583620","6.36","Japan"
"23","Barratt Developments","BDEV.L","4423850264","4.39","United Kingdom"
"24","Hochtief","HOT.F","4048332310","53.02","Germany"
"25","Strabag","XD4.F","3911152131","38.12","Austria"
"26","Lendlease","LLC.AX","3880937999","5.63","Australia"
"27","Fomento de Construcciones y Contratas","FCC.MC","3634403986","8.39","Spain"
"28","Skyline Champion","SKY","3401968128","59.8","United States"
"29","SNC-Lavalin Group","SNC.TO","3040320659","17.32","Canada"
"30","Makkah Construction &amp; Development","4100.SR","2798100164","16.98","Saudi Arabia"
"31","Bellway","BWY.L","2686526914","21.76","United Kingdom"
"32","KB Home","KBH","2517031424","29.41","United States"
"33","Fletcher Building","FLQ.F","2255492159","2.85","New Zealand"
"34","Balfour Beatty","BBY.L","2066148189","3.44","United Kingdom"
"35","Shikun &amp; Binui","SKBN.TA","1839218229","4.07","Israel"
"36","TRI Pointe Group","TPH","1743091712","17.15","United States"
"37","Redrow","RDW.L","1656856246","4.9","United Kingdom"
"38","Construction Partners","ROAD","1646816768","31.34","United States"
"39","Sacyr","SCYR.MC","1555843827","2.44","Spain"
"40","Peab","PEAB-B.ST","1530980156","5.29","Sweden"
"41","Vistry Group","VTY.L","1527444117","7","United Kingdom"
"42","Granite Construction","GVA","1464056192","33.21","United States"
"43","Century Communities","CCS","1457780352","45.17","United States"
"44","MYR Group","MYRG","1448633216","86.97","United States"
"45","KEC International","KEC.NS","1355206123","5.27","India"
"46","Budimex","BDX.WA","1276073325","49.98","Poland"
"47","M/I Homes","MHO","1192872960","42.97","United States"
"48","Primoris Services Corporation","PRIM","1075944576","20.22","United States"
"49","Green Brick Partners","GRBK","1072699328","23.3","United States"
"50","Veidekke","VEI.OL","1069721140","8.05","Norway"
"51","Metrovacesa","MVC.MC","1056543751","6.98","Spain"
"52","Dream Finders Homes","DFH","1025913408","11.06","United States"
"53","NCC","NCC-B.ST","866313973","8.38","Sweden"
"54","Kalpataru Power Transmission","KALPATPOWR.NS","860428974","5.78","India"
"55","Sterling Construction","STRL","825685888","27.25","United States"
"56","Knr Constructions","KNRCON.NS","756379888","2.68","India"
"57","Sunteck Realty","SUNTECK.NS","673809036","4.6","India"
"58","Aedas Homes","AEDAS.MC","579965972","13.16","Spain"
"59","YIT","YIT.HE","535365932","2.56","Finland"
"60","Action Construction Equipment","ACE.NS","431727845","3.61","India"
"61","PORR","ABS2.F","391610859","9.99","Austria"
"62","Tutor Perini","TPC","377992672","7.36","United States"
"63","Beazer Homes USA","BZH","357788288","11.44","United States"
"64","Northwest Pipe Company","NWPX","342493920","34.5","United States"
"65","North American Construction Group","NOA","339691264","12.5","Canada"
"66","Power Mech Projects","POWERMECH.NS","316868916","21.54","India"
"67","Eneti","NETI","304879936","7.93","Monaco"
"68","Ashoka Buildcon","ASHOKA.NS","252345638","0.9","India"
"69","Aenza","AENZ","249216608","0.85","Peru"
"70","Hindustan Construction Company","HCC.NS","248290988","0.16","India"
"71","Hovnanian Enterprises","HOV","229837632","40.4","United States"
"72","Landsea Homes","LSEA","204628000","5","United States"
"73","Hill International","HIL","192633504","3.36","United States"
"74","orion-group-holdings","ORN","76263664","2.44","United States"
"75","DIRTT Environmental Solutions","DRTT","36498408","0.4","Canada"
"76","SG Blocks","SGBX","20529926","1.7","United States"
