"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","BHP Group","BHP","120274665000","47.53","Australia"
"2","Rio Tinto","RIO","86800220160","52.83","United Kingdom"
"3","Glencore","GLCNF","76865724416","5.79","Switzerland"
"4","China Shenhua Energy","601088.SS","76512409941","4.05","China"
"5","Vale","VALE","58997452800","12.64","Brazil"
"6","Maaden","1211.SR","54161671766","22.01","Saudi Arabia"
"7","Freeport-McMoRan","FCX","46022496256","32.2","United States"
"8","Nutrien","NTR","44385947648","82.36","Canada"
"9","Anglo American","AAL.L","40783196367","30.49","United Kingdom"
"10","Southern Copper","SCCO","36420362240","47.11","United States"
"11","Nornickel","GMKN.ME","34228806629","219.28","Russia"
"12","Newmont","NEM","34017169408","42.86","United States"
"13","Fortescue","FMG.AX","29146646855","9.47","Australia"
"14","Zijin Mining","601899.SS","28750147108","1.12","China"
"15","Barrick Gold","GOLD","27051851776","15.31","Canada"
"16","Yankuang Energy (Yanzhou Coal Mining)","600188.SS","24268394632","6.01","China"
"17","Franco-Nevada","FNV","23898527744","124.76","Canada"
"18","Agnico Eagle Mines","AEM","20560885760","45.17","Canada"
"19","Ganfeng Lithium","002460.SZ","19703093902","10.57","China"
"20","Coal India","COALINDIA.NS","18308550031","2.97","India"
"21","Teck Resources","TECK","16528268288","31.18","Canada"
"22","Bayan Resources","BYAN.JK","15457491789","4.64","Indonesia"
"23","Wheaton Precious Metals","WPM","15082162176","33.39","Canada"
"24","Antofagasta","ANTO.L","13675503170","13.77","United Kingdom"
"25","Vedanta","VEDL.NS","12874344453","3.46","India"
"26","First Quantum Minerals","FM.TO","12560397248","18.16","Canada"
"27","South32","S32.AX","10686471750","2.31","Australia"
"28","Cameco","CCJ","10483800064","24.24","Canada"
"29","Newcrest Mining","NCM.AX","10208412437","11.42","Australia"
"30","Shandong Gold Mining","600547.SS","10053378016","2.4","China"
"31","Impala Platinum","IMP.JO","8767576200","10.36","South Africa"
"32","Mineral Resources","MIN.AX","8720970344","45.95","Australia"
"33","Ivanhoe Mines","IVN.TO","8691610985","7.16","Canada"
"34","Boliden","BOL.ST","8177916667","29.9","Sweden"
"35","Sumitomo Metal Mining","5713.T","7755486423","28.23","Japan"
"36","Gold Fields","GFI","7281496064","8.17","South Africa"
"37","Sibanye-Stillwater","SBSW","6813273600","9.63","South Africa"
"38","Northern Star","NST.AX","6639654223","5.73","Australia"
"39","Washington H. Soul Pattinson and Company (WHSP)","SOL.AX","6479922175","17.95","Australia"
"40","Royal Gold","RGLD","6344077312","96.65","United States"
"41","Metso Outotec (Mo Group)","MOCORP.HE","6311169990","7.64","Finland"
"42","Merdeka Copper Gold","MDKA.JK","5968217813","0.25","Indonesia"
"43","AngloGold Ashanti","AU","5644040704","13.49","South Africa"
"44","OZ Minerals","OZL.AX","5184768722","15.49","Australia"
"45","Lynas","LYI.F","4789652844","5.29","Malaysia"
"46","Kinross Gold","KGC","4758183424","3.66","Canada"
"47","Yancoal","YAL.AX","4513818204","3.42","Australia"
"48","Endeavour Mining","EDV.TO","4459025087","18.08","United Kingdom"
"49","Yamana Gold","AUY","4306683904","4.47","Canada"
"50","Lundin Mining","LUN.TO","4130367304","5.35","Canada"
"51","KGHM Polska Miedź","KGHA.F","4033582077","20","Poland"
"52","Sigma Lithium","SGML","3680550400","36.5","Canada"
"53","National Mineral Development Corporation","NMDC.NS","3596201011","1.23","India"
"54","Peabody Energy","BTU","3446405120","23.95","United States"
"55","CSN Mineração","CMIN3.SA","3441808650","0.62","Brazil"
"56","Pan American Silver","PAAS","3420803840","16.25","Canada"
"57","Lithium Americas","LAC","3390574080","25.19","Canada"
"58","B2Gold","BTG","3318010880","3.09","Canada"
"59","African Rainbow Minerals","ARI.JO","3253308900","14.36","South Africa"
"60","Alamos Gold","AGI","3192573184","8.14","Canada"
"61","Alliance Resource Partners","ARLP","3083206656","24.24","United States"
"62","Alpha Metallurgical Resources","AMR","2885675520","166.57","United States"
"63","Arch Resources","ARCH","2785191168","150.12","United States"
"64","Hecla Mining","HL","2780307968","4.67","United States"
"65","Exxaro Resources","EXX.JO","2746471300","11.27","South Africa"
